ID;Name;Number;Set;Series;Rarity;HP;Type;Artist;Release Date;Average Price;Count;Finish Type;Reverse Holo;Language
SMP_int_36;Umbreon-GX;SM36/248;Sun & Moon Promos;Sun & Moon;Unknown;200;Pokémon;5ban Graphics;2017-02-03T00:00:00Z;57,51;1;HOLOFOIL;No;EN
SI_jp_255;ブラッキーV;255/427;Starter Decks 100;Sword & Shield;Double Rare;200;Pokémon;5ban Graphics;2021-12-17T00:00:00Z;5,09;1;NORMAL;No;JA
SS_int_24;Umbreon;24/100;Sandstorm;EX;Rare;80;Pokémon;Kagemaru Himeno;2003-09-18T00:00:00Z;35,58;1;NORMAL;No;EN
SP_int_129;Umbreon;SWSH129/292;Sword & Shield Promos;Sword & Shield;Unknown;110;Pokémon;Souichirou Gunjima;2019-11-15T00:00:00Z;16,21;1;HOLOFOIL;No;EN
LOT_int_120;Umbreon;120/236;Lost Thunder;Sun & Moon;Rare;110;Pokémon;Ryota Murayama;2018-11-02T00:00:00Z;8,97;1;NORMAL;No;EN
MCD13_int_9;Umbreon;9/12;McDonald's Collection 2013;McDonald's Collection;Unknown;100;Pokémon;Kouki Saitou;2013-10-13T00:00:00Z;9,50;1;NORMAL;No;EN
PRE_int_59;Umbreon;59/180;Prismatic Evolutions;Scarlet & Violet;Rare;110;Pokémon;matazo;2025-01-17T00:00:00Z;0,58;1;HOLOFOIL;No;EN
PRE_int_156;Sylveon ex;156/180;Prismatic Evolutions;Scarlet & Violet;Special Illustration Rare;270;Pokémon;Cona Nitanda;2025-01-17T00:00:00Z;526,83;1;HOLOFOIL;No;EN
UNB_int_130;Gardevoir & Sylveon-GX;130/234;Unbroken Bonds;Sun & Moon;Double Rare;260;Pokémon;Mitsuhiro Arita;2019-05-03T00:00:00Z;69,45;1;HOLOFOIL;No;EN
GRI_int_92;Sylveon-GX;92/169;Guardians Rising;Sun & Moon;Double Rare;200;Pokémon;5ban Graphics;2017-05-05T00:00:00Z;18,23;1;HOLOFOIL;No;EN
SP_int_134;Dark Sylveon V;SWSH134/292;Sword & Shield Promos;Sword & Shield;Unknown;180;Pokémon;Ryuta Fuse;2019-11-15T00:00:00Z;12,20;1;HOLOFOIL;No;EN
PRE_int_40;Sylveon;40/180;Prismatic Evolutions;Scarlet & Violet;Rare;120;Pokémon;MINAMINAMI Take;2025-01-17T00:00:00Z;0,38;1;HOLOFOIL;No;EN
PRE_int_155;Espeon ex;155/180;Prismatic Evolutions;Scarlet & Violet;Special Illustration Rare;270;Pokémon;sui;2025-01-17T00:00:00Z;361,38;1;HOLOFOIL;No;EN
SVP_jp_66;Espeon;66/300;Scarlet & Violet Promotional Cards;Scarlet & Violet;Unknown;110;Pokémon;YU NAGABA;2023-01-01T00:00:00Z;110,88;1;HOLOFOIL;No;EN
BWP_int_92;Espeon;BW92/101;Black & White Promos;Black & White;Unknown;90;Pokémon;The Pokémon Company Art Team;2011-03-01T00:00:00Z;53,35;1;HOLOFOIL;No;EN
VS01_jp_56;Sabrina's Espeon;56/151;Pokémon VS;VS;Common;60;Pokémon;Asuka Iwashita;2001-08-19T00:00:00Z;221,32;1;NORMAL;No;EN
N2_int_1;Espeon;1/75;Neo Discovery;WotC Era;Holo Rare;80;Pokémon;Atsuko Nishida;2001-06-01T00:00:00Z;237,50;1;FIRST_EDITION_HOLO;No;EN
N2_int_20;Espeon;20/75;Neo Discovery;WotC Era;Rare;70;Pokémon;Naoyo Kimura;2001-06-01T00:00:00Z;88,20;1;FIRST_EDITION;No;EN
